Direction (°),Clipboard,Clipboard-fit
-90.000000000,0.005016799,0.006109894
-88.000000000,0.004379557,0.006109898
-86.000000000,0.004354311,0.006109908
-84.000000000,0.004613823,0.006109927
-82.000000000,0.004460917,0.006109969
-80.000000000,0.004848154,0.006110056
-78.000000000,0.005620782,0.006110231
-76.000000000,0.005634834,0.006110576
-74.000000000,0.004133680,0.006111241
-72.000000000,0.005396612,0.006112491
-70.000000000,0.006303959,0.006114789
-68.000000000,0.006819487,0.006118912
-66.000000000,0.006833423,0.006126138
-64.000000000,0.006552388,0.006138503
-62.000000000,0.006820064,0.006159157
-60.000000000,0.005871662,0.006192838
-58.000000000,0.006172456,0.006246442
-56.000000000,0.006731617,0.006329692
-54.000000000,0.007764538,0.006455836
-52.000000000,0.009875509,0.006642278
-50.000000000,0.007924163,0.006910999
-48.000000000,0.010245865,0.007288575
-46.000000000,0.011098414,0.007805579
-44.000000000,0.010834667,0.008495160
-42.000000000,0.013693697,0.009390628
-40.000000000,0.014033691,0.010522019
-38.000000000,0.012848195,0.011911754
-36.000000000,0.012555874,0.013569730
-34.000000000,0.013949917,0.015488407
-32.000000000,0.014538452,0.017638620
-30.000000000,0.017803174,0.019966960
-28.000000000,0.022198659,0.022395499
-26.000000000,0.025813995,0.024824434
-24.000000000,0.027336528,0.027137850
-22.000000000,0.029189045,0.029212322
-20.000000000,0.027513408,0.030927554
-18.000000000,0.030906603,0.032177832
-16.000000000,0.034498901,0.032882780
-14.000000000,0.033023205,0.032995903
-12.000000000,0.031311982,0.032509664
-10.000000000,0.037352128,0.031456313
-8.000000000,0.036814492,0.029904346
-6.000000000,0.022532207,0.027951142
-4.000000000,0.020700582,0.025712863
-2.000000000,0.026589869,0.023313081
1.272E-13,0.022979278,0.020871670
2.000000000,0.015814448,0.018495320
4.000000000,0.014210937,0.016270648
6.000000000,0.014754557,0.014260381
8.000000000,0.011845427,0.012502587
10.000000000,0.009517364,0.011012497
12.000000000,0.009055749,0.009786205
14.000000000,0.007381046,0.008805401
16.000000000,0.009099040,0.008042357
18.000000000,0.008200804,0.007464536
20.000000000,0.008075697,0.007038390
22.000000000,0.007152823,0.006732163
24.000000000,0.006532496,0.006517667
26.000000000,0.007157353,0.006371171
28.000000000,0.006757118,0.006273585
30.000000000,0.007731550,0.006210168
32.000000000,0.007141169,0.006169955
34.000000000,0.007705384,0.006145069
36.000000000,0.008414065,0.006130036
38.000000000,0.007618603,0.006121171
40.000000000,0.006636686,0.006116067
42.000000000,0.006502413,0.006113197
44.000000000,0.006798484,0.006111622
46.000000000,0.005783093,0.006110777
48.000000000,0.004208966,0.006110334
50.000000000,0.005135781,0.006110108
52.000000000,0.004614081,0.006109995
54.000000000,0.004896828,0.006109940
56.000000000,0.004122606,0.006109913
58.000000000,0.005137290,0.006109901
60.000000000,0.005602163,0.006109895
62.000000000,0.006173592,0.006109893
64.000000000,0.006307986,0.006109892
66.000000000,0.005592890,0.006109891
68.000000000,0.007495876,0.006109891
70.000000000,0.006414334,0.006109891
72.000000000,0.006428246,0.006109891
74.000000000,0.005589573,0.006109891
76.000000000,0.005275711,0.006109891
78.000000000,0.005044697,0.006109891
80.000000000,0.005735250,0.006109891
82.000000000,0.005332690,0.006109891
84.000000000,0.005168433,0.006109891
86.000000000,0.004744495,0.006109891
88.000000000,0.004600644,0.006109891
