Direction (°),Clipboard,Clipboard-fit
-90.000000000,0.002883222,0.003054669
-89.000000000,0.001859764,0.003054669
-88.000000000,0.002306662,0.003054671
-87.000000000,0.002082061,0.003054673
-86.000000000,0.002138042,0.003054675
-85.000000000,0.002519946,0.003054679
-84.000000000,0.002149728,0.003054685
-83.000000000,0.002265640,0.003054693
-82.000000000,0.002116251,0.003054706
-81.000000000,0.002494371,0.003054723
-80.000000000,0.002366609,0.003054748
-79.000000000,0.002539523,0.003054784
-78.000000000,0.002789223,0.003054834
-77.000000000,0.003040327,0.003054905
-76.000000000,0.002851372,0.003055005
-75.000000000,0.002402326,0.003055142
-74.000000000,0.001821652,0.003055333
-73.000000000,0.002403313,0.003055594
-72.000000000,0.002737257,0.003055951
-71.000000000,0.002776901,0.003056435
-70.000000000,0.003238116,0.003057088
-69.000000000,0.003243937,0.003057963
-68.000000000,0.003262770,0.003059129
-67.000000000,0.004092930,0.003060675
-66.000000000,0.003167541,0.003062710
-65.000000000,0.003194670,0.003065375
-64.000000000,0.003123815,0.003068842
-63.000000000,0.003626732,0.003073327
-62.000000000,0.003457677,0.003079094
-61.000000000,0.003083361,0.003086463
-60.000000000,0.002948607,0.003095823
-59.000000000,0.002737561,0.003107640
-58.000000000,0.003161796,0.003122467
-57.000000000,0.003385014,0.003140957
-56.000000000,0.003451843,0.003163875
-55.000000000,0.003057659,0.003192104
-54.000000000,0.003592135,0.003226660
-53.000000000,0.005234436,0.003268698
-52.000000000,0.005080642,0.003319516
-51.000000000,0.004360205,0.003380561
-50.000000000,0.003715768,0.003453429
-49.000000000,0.004168525,0.003539852
-48.000000000,0.005384789,0.003641695
-47.000000000,0.005514133,0.003760931
-46.000000000,0.005302427,0.003899621
-45.000000000,0.006004600,0.004059877
-44.000000000,0.004825331,0.004243819
-43.000000000,0.006052135,0.004453531
-42.000000000,0.006961300,0.004690998
-41.000000000,0.007600865,0.004958040
-40.000000000,0.007009725,0.005256246
-39.000000000,0.006430516,0.005586890
-38.000000000,0.006463595,0.005950856
-37.000000000,0.006400713,0.006348559
-36.000000000,0.005862494,0.006779863
-35.000000000,0.006882876,0.007244014
-34.000000000,0.006804900,0.007739573
-33.000000000,0.007358740,0.008264368
-32.000000000,0.006614453,0.008815458
-31.000000000,0.008387714,0.009389115
-30.000000000,0.008931768,0.009980832
-29.000000000,0.009690165,0.010585348
-28.000000000,0.011536950,0.011196703
-27.000000000,0.012110200,0.011808318
-26.000000000,0.013260780,0.012413092
-25.000000000,0.012250456,0.013003535
-24.000000000,0.013418182,0.013571912
-23.000000000,0.015306425,0.014110403
-22.000000000,0.013569736,0.014611284
-21.000000000,0.016353042,0.015067104
-20.000000000,0.013900117,0.015470874
-19.000000000,0.011066999,0.015816237
-18.000000000,0.015885089,0.016097642
-17.000000000,0.018836069,0.016310487
-16.000000000,0.017672835,0.016451245
-15.000000000,0.014778288,0.016517565
-14.000000000,0.017449533,0.016508332
-13.000000000,0.016228567,0.016423702
-12.000000000,0.015099511,0.016265094
-11.000000000,0.016192514,0.016035156
-10.000000000,0.019191099,0.015737685
-9.000000000,0.020143828,0.015377527
-8.000000000,0.018649771,0.014960446
-7.000000000,0.015853212,0.014492968
-6.000000000,0.009814334,0.013982211
-5.000000000,0.009653738,0.013435710
-4.000000000,0.009301092,0.012861230
-3.000000000,0.013493971,0.012266584
-2.000000000,0.013764905,0.011659463
-1.000000000,0.011042271,0.011047275
1.272E-13,0.014707941,0.010437003
1.000000000,0.006796235,0.009835085
2.000000000,0.008758609,0.009247317
3.000000000,0.006995940,0.008678779
4.000000000,0.007211242,0.008133791
5.000000000,0.007251656,0.007615887
6.000000000,0.007729206,0.007127818
7.000000000,0.006495087,0.006671575
8.000000000,0.006237282,0.006248424
9.000000000,0.004968477,0.005858961
10.000000000,0.004891569,0.005503181
11.000000000,0.004398618,0.005180548
12.000000000,0.004796196,0.004890076
13.000000000,0.003693570,0.004630405
14.000000000,0.003593932,0.004399885
15.000000000,0.004109448,0.004196647
16.000000000,0.004664312,0.004018678
17.000000000,0.004717466,0.003863879
18.000000000,0.003950755,0.003730129
19.000000000,0.003901236,0.003615323
20.000000000,0.004203749,0.003517420
21.000000000,0.003744667,0.003434471
22.000000000,0.003491958,0.003364642
23.000000000,0.003571674,0.003306233
24.000000000,0.003167998,0.003257685
25.000000000,0.003243294,0.003217587
26.000000000,0.003660781,0.003184675
27.000000000,0.003476478,0.003157830
28.000000000,0.003200789,0.003136069
29.000000000,0.003890622,0.003118538
30.000000000,0.003858965,0.003104502
31.000000000,0.003850744,0.003093332
32.000000000,0.003373936,0.003084497
33.000000000,0.003642810,0.003077552
34.000000000,0.003953967,0.003072126
35.000000000,0.003879659,0.003067911
36.000000000,0.004409045,0.003064658
37.000000000,0.003910221,0.003062161
38.000000000,0.003898646,0.003060257
39.000000000,0.003574529,0.003058813
40.000000000,0.003297751,0.003057725
41.000000000,0.003159478,0.003056910
42.000000000,0.003144213,0.003056303
43.000000000,0.003621970,0.003055853
44.000000000,0.002935791,0.003055523
45.000000000,0.004141531,0.003055281
46.000000000,0.002664050,0.003055105
47.000000000,0.002052061,0.003054977
48.000000000,0.001990585,0.003054886
49.000000000,0.002399207,0.003054820
50.000000000,0.002808559,0.003054774
51.000000000,0.002227538,0.003054741
52.000000000,0.002235663,0.003054718
53.000000000,0.002559333,0.003054702
54.000000000,0.002571819,0.003054691
55.000000000,0.002015516,0.003054683
56.000000000,0.002033683,0.003054678
57.000000000,0.002216244,0.003054674
58.000000000,0.002592059,0.003054672
59.000000000,0.002856552,0.003054670
60.000000000,0.002786125,0.003054669
61.000000000,0.002820511,0.003054669
62.000000000,0.003022806,0.003054668
63.000000000,0.003448818,0.003054668
64.000000000,0.003255752,0.003054668
65.000000000,0.002595830,0.003054667
66.000000000,0.002594950,0.003054667
67.000000000,0.003547804,0.003054667
68.000000000,0.003875426,0.003054667
69.000000000,0.003558477,0.003054667
70.000000000,0.003170728,0.003054667
71.000000000,0.002982716,0.003054667
72.000000000,0.003336060,0.003054667
73.000000000,0.003093617,0.003054667
74.000000000,0.002805627,0.003054667
75.000000000,0.002554104,0.003054667
76.000000000,0.002825905,0.003054667
77.000000000,0.002381176,0.003054667
78.000000000,0.002541552,0.003054667
79.000000000,0.002603292,0.003054667
80.000000000,0.002887860,0.003054667
81.000000000,0.002940731,0.003054667
82.000000000,0.002584970,0.003054667
83.000000000,0.002686531,0.003054667
84.000000000,0.002665172,0.003054667
85.000000000,0.002414611,0.003054667
86.000000000,0.002327432,0.003054667
87.000000000,0.002251586,0.003054667
88.000000000,0.001999637,0.003054667
89.000000000,0.002806600,0.003054667
