 ,Direction (°),InCos,InCos-fit
1,-90.000000000,0.000000401,0.000149040
2,-89.000000000,0.000000171,0.000149040
3,-88.000000000,0.000000390,0.000149040
4,-87.000000000,0.000000233,0.000149040
5,-86.000000000,0.000000453,0.000149040
6,-85.000000000,0.000000329,0.000149040
7,-84.000000000,0.000000367,0.000149040
8,-83.000000000,0.000000340,0.000149040
9,-82.000000000,0.000000480,0.000149040
10,-81.000000000,0.000000333,0.000149040
11,-80.000000000,0.000000330,0.000149040
12,-79.000000000,0.000000112,0.000149040
13,-78.000000000,0.000000153,0.000149040
14,-77.000000000,0.000000735,0.000149040
15,-76.000000000,0.000000460,0.000149040
16,-75.000000000,0.000000564,0.000149040
17,-74.000000000,0.000000421,0.000149040
18,-73.000000000,0.000000155,0.000149040
19,-72.000000000,0.000000111,0.000149040
20,-71.000000000,0.000000353,0.000149040
21,-70.000000000,0.000000628,0.000149040
22,-69.000000000,0.000000309,0.000149040
23,-68.000000000,0.000000144,0.000149040
24,-67.000000000,0.000000125,0.000149040
25,-66.000000000,0.000000968,0.000149040
26,-65.000000000,0.000000638,0.000149040
27,-64.000000000,0.000000216,0.000149040
28,-63.000000000,0.000000487,0.000149040
29,-62.000000000,0.000000633,0.000149040
30,-61.000000000,0.000000070,0.000149040
31,-60.000000000,0.000000235,0.000149040
32,-59.000000000,0.000000276,0.000149040
33,-58.000000000,0.000000445,0.000149040
34,-57.000000000,0.000000420,0.000149040
35,-56.000000000,0.000000259,0.000149040
36,-55.000000000,0.000000271,0.000149040
37,-54.000000000,0.000000447,0.000149040
38,-53.000000000,0.000000404,0.000149040
39,-52.000000000,0.000000508,0.000149040
40,-51.000000000,0.000000438,0.000149040
41,-50.000000000,0.000000530,0.000149040
42,-49.000000000,0.000000447,0.000149040
43,-48.000000000,0.000000628,0.000149040
44,-47.000000000,0.000000409,0.000149040
45,-46.000000000,0.000000530,0.000149040
46,-45.000000000,0.000000347,0.000149040
47,-44.000000000,0.000000125,0.000149040
48,-43.000000000,0.000000087,0.000149040
49,-42.000000000,0.000000093,0.000149040
50,-41.000000000,0.000000085,0.000149040
51,-40.000000000,0.000000116,0.000149040
52,-39.000000000,0.000000156,0.000149040
53,-38.000000000,0.000000154,0.000149040
54,-37.000000000,0.000000492,0.000149040
55,-36.000000000,0.000000243,0.000149040
56,-35.000000000,0.000000413,0.000149040
57,-34.000000000,0.000000733,0.000149040
58,-33.000000000,0.000000321,0.000149040
59,-32.000000000,0.000000472,0.000149040
60,-31.000000000,0.000000842,0.000149040
61,-30.000000000,0.000000397,0.000149040
62,-29.000000000,0.000000325,0.000149040
63,-28.000000000,0.000000243,0.000149040
64,-27.000000000,0.000000130,0.000149040
65,-26.000000000,0.000000141,0.000149040
66,-25.000000000,0.000000527,0.000149040
67,-24.000000000,0.000000681,0.000149040
68,-23.000000000,0.000000413,0.000149040
69,-22.000000000,0.000000174,0.000149040
70,-21.000000000,0.000000315,0.000149040
71,-20.000000000,0.000000282,0.000149040
72,-19.000000000,0.000000169,0.000149040
73,-18.000000000,0.000000120,0.000149040
74,-17.000000000,0.000000197,0.000149040
75,-16.000000000,0.000000109,0.000149040
76,-15.000000000,0.000000213,0.000149040
77,-14.000000000,0.000000263,0.000149040
78,-13.000000000,0.000000246,0.000149040
79,-12.000000000,0.000000137,0.000149040
80,-11.000000000,0.000000553,0.000149040
81,-10.000000000,0.000000751,0.000149040
82,-9.000000000,0.000000164,0.000149040
83,-8.000000000,0.000000572,0.000149040
84,-7.000000000,0.000000424,0.000149040
85,-6.000000000,0.000000097,0.000149040
86,-5.000000000,0.000000103,0.000149040
87,-4.000000000,0.000000821,0.000149040
88,-3.000000000,0.000000452,0.000149040
89,-2.000000000,0.000000077,0.000149040
90,-1.000000000,0.000000165,0.000149040
91,1.272E-13,0.000000206,0.000149040
92,1.000000000,0.000000701,0.000149040
93,2.000000000,0.000000069,0.000149040
94,3.000000000,0.000000158,0.000149040
95,4.000000000,0.000000245,0.000149040
96,5.000000000,0.000000205,0.000149040
97,6.000000000,0.000000370,0.000149040
98,7.000000000,0.000000372,0.000149040
99,8.000000000,0.000000364,0.000149040
100,9.000000000,0.000000083,0.000149040
101,10.000000000,0.000000111,0.000149040
102,11.000000000,0.000000539,0.000149040
103,12.000000000,0.000000545,0.000149040
104,13.000000000,0.000000238,0.000149040
105,14.000000000,0.000000107,0.000149040
106,15.000000000,0.000000128,0.000149040
107,16.000000000,0.000000135,0.000149040
108,17.000000000,0.000000265,0.000149040
109,18.000000000,0.000000400,0.000149040
110,19.000000000,0.000000299,0.000149040
111,20.000000000,0.000000469,0.000149041
112,21.000000000,0.000000776,0.000149077
113,22.000000000,0.000001617,0.000150072
114,23.000000000,0.000005422,0.000168565
115,24.000000000,0.000032353,0.000397157
116,25.000000000,0.000679566,0.002266493
117,26.000000000,0.024562856,0.012284702
118,27.000000000,0.039626261,0.046858490
119,28.000000000,0.093625246,0.120885263
120,29.000000000,0.250170633,0.209734895
121,30.000000000,0.217843841,0.244479665
122,31.000000000,0.210515303,0.191436013
123,32.000000000,0.058597498,0.100722742
124,33.000000000,0.095847308,0.035661032
125,34.000000000,0.004164034,0.008569914
126,35.000000000,0.004171621,0.001490047
127,36.000000000,0.000075129,0.000292456
128,37.000000000,0.000013543,0.000159341
129,38.000000000,0.000009318,0.000149537
130,39.000000000,0.000000658,0.000149056
131,40.000000000,0.000002284,0.000149041
132,41.000000000,0.000000413,0.000149040
133,42.000000000,0.000000718,0.000149040
134,43.000000000,0.000000594,0.000149040
135,44.000000000,0.000000286,0.000149040
136,45.000000000,0.000000360,0.000149040
137,46.000000000,0.000000303,0.000149040
138,47.000000000,0.000000304,0.000149040
139,48.000000000,0.000000312,0.000149040
140,49.000000000,0.000000521,0.000149040
141,50.000000000,0.000000288,0.000149040
142,51.000000000,0.000000650,0.000149040
143,52.000000000,0.000000164,0.000149040
144,53.000000000,0.000000210,0.000149040
145,54.000000000,0.000000345,0.000149040
146,55.000000000,0.000000395,0.000149040
147,56.000000000,0.000000287,0.000149040
148,57.000000000,0.000000565,0.000149040
149,58.000000000,0.000000154,0.000149040
150,59.000000000,0.000000124,0.000149040
151,60.000000000,0.000000563,0.000149040
152,61.000000000,0.000000275,0.000149040
153,62.000000000,0.000000114,0.000149040
154,63.000000000,0.000000250,0.000149040
155,64.000000000,0.000000152,0.000149040
156,65.000000000,0.000000306,0.000149040
157,66.000000000,0.000000504,0.000149040
158,67.000000000,0.000000350,0.000149040
159,68.000000000,0.000000821,0.000149040
160,69.000000000,0.000000485,0.000149040
161,70.000000000,0.000000259,0.000149040
162,71.000000000,0.000000223,0.000149040
163,72.000000000,0.000000381,0.000149040
164,73.000000000,0.000000221,0.000149040
165,74.000000000,0.000000014,0.000149040
166,75.000000000,0.000000129,0.000149040
167,76.000000000,0.000000479,0.000149040
168,77.000000000,0.000000436,0.000149040
169,78.000000000,0.000000193,0.000149040
170,79.000000000,0.000000323,0.000149040
171,80.000000000,0.000000247,0.000149040
172,81.000000000,0.000000202,0.000149040
173,82.000000000,0.000000682,0.000149040
174,83.000000000,0.000000519,0.000149040
175,84.000000000,0.000000137,0.000149040
176,85.000000000,0.000001093,0.000149040
177,86.000000000,0.000000568,0.000149040
178,87.000000000,0.000000248,0.000149040
179,88.000000000,0.000000136,0.000149040
180,89.000000000,0.000000126,0.000149040
