Direction (°),MAX_20180223_S2_20X_2c_CenterCropped3,MAX_20180223_S2_20X_2c_CenterCropped3-fit
-90.000000000,0.008560424,0.008430060
-89.000000000,0.007384796,0.008763025
-88.000000000,0.007853591,0.009095276
-87.000000000,0.008750678,0.009423155
-86.000000000,0.010750913,0.009742830
-85.000000000,0.012211610,0.010050358
-84.000000000,0.013514843,0.010341768
-83.000000000,0.012643569,0.010613142
-82.000000000,0.012771601,0.010860706
-81.000000000,0.014754473,0.011080912
-80.000000000,0.012726103,0.011270525
-79.000000000,0.009506779,0.011426700
-78.000000000,0.010876429,0.011547055
-77.000000000,0.012548295,0.011629732
-76.000000000,0.012400927,0.011673440
-75.000000000,0.011754035,0.011677494
-74.000000000,0.010269765,0.011641831
-73.000000000,0.011096807,0.011567011
-72.000000000,0.011917509,0.011454201
-71.000000000,0.011046466,0.011305148
-70.000000000,0.010586802,0.011122133
-69.000000000,0.010727135,0.010907910
-68.000000000,0.010548196,0.010665643
-67.000000000,0.009787324,0.010398820
-66.000000000,0.008843027,0.010111179
-65.000000000,0.008299442,0.009806614
-64.000000000,0.008743421,0.009489092
-63.000000000,0.008827079,0.009162569
-62.000000000,0.008008396,0.008830906
-61.000000000,0.005740127,0.008497801
-60.000000000,0.005912753,0.008166721
-59.000000000,0.007510125,0.007840853
-58.000000000,0.008833373,0.007523056
-57.000000000,0.007147885,0.007215833
-56.000000000,0.005861977,0.006921308
-55.000000000,0.005395099,0.006641222
-54.000000000,0.006252421,0.006376931
-53.000000000,0.006213494,0.006129418
-52.000000000,0.006695046,0.005899312
-51.000000000,0.007172641,0.005686914
-50.000000000,0.007431618,0.005492231
-49.000000000,0.008127112,0.005315005
-48.000000000,0.008232115,0.005154755
-47.000000000,0.006239793,0.005010812
-46.000000000,0.005784916,0.004882360
-45.000000000,0.007290522,0.004768468
-44.000000000,0.005690358,0.004668126
-43.000000000,0.006475123,0.004580278
-42.000000000,0.006042663,0.004503846
-41.000000000,0.005751981,0.004437755
-40.000000000,0.006631394,0.004380956
-39.000000000,0.005990447,0.004332437
