Direction (°),MAX_20X_Airyscan_6,MAX_20X_Airyscan_6-fit
-90.000000000,0.012443804,0.014052342
-88.000000000,0.011296387,0.015715804
-86.000000000,0.015054542,0.017542239
-84.000000000,0.017539999,0.019473854
-82.000000000,0.020682145,0.021433382
-80.000000000,0.022068512,0.023328153
-78.000000000,0.029881635,0.025056762
-76.000000000,0.037563455,0.026517772
-74.000000000,0.033035067,0.027619451
-72.000000000,0.030607760,0.028289269
-70.000000000,0.027246991,0.028481793
-68.000000000,0.022488195,0.028183783
-66.000000000,0.023951839,0.027415699
-64.000000000,0.023831423,0.026229377
-62.000000000,0.024798483,0.024702243
-60.000000000,0.020629431,0.022928963
-58.000000000,0.017533964,0.021011774
-56.000000000,0.016178231,0.019050873
-54.000000000,0.018680120,0.017136080
-52.000000000,0.016140117,0.015340702
-50.000000000,0.013472906,0.013718050
-48.000000000,0.014966778,0.012300621
-46.000000000,0.014583575,0.011101573
-44.000000000,0.014056625,0.010117849
-42.000000000,0.011314426,0.009334228
-40.000000000,0.011335503,0.008727598
-38.000000000,0.013736267,0.008270892
-36.000000000,0.015299098,0.007936312
-34.000000000,0.014157539,0.007697683
-32.000000000,0.011035288,0.007531924
-30.000000000,0.007884849,0.007419744
-28.000000000,0.006364592,0.007345757
-26.000000000,0.006788482,0.007298190
-24.000000000,0.007666560,0.007268373
-22.000000000,0.008972620,0.007250146
-20.000000000,0.008150780,0.007239279
-18.000000000,0.007311240,0.007232959
-16.000000000,0.007817501,0.007229373
-14.000000000,0.009399216,0.007227387
-12.000000000,0.008230696,0.007226315
-10.000000000,0.006006895,0.007225749
-8.000000000,0.005134726,0.007225458
-6.000000000,0.005059346,0.007225312
-4.000000000,0.006588565,0.007225241
-2.000000000,0.005802981,0.007225206
1.272E-13,0.006003278,0.007225190
2.000000000,0.004563165,0.007225183
4.000000000,0.005935354,0.007225180
6.000000000,0.007517532,0.007225178
8.000000000,0.006990725,0.007225178
10.000000000,0.005698383,0.007225178
12.000000000,0.006415667,0.007225178
14.000000000,0.007157703,0.007225177
16.000000000,0.006959194,0.007225177
18.000000000,0.007141817,0.007225177
20.000000000,0.006223144,0.007225177
22.000000000,0.006864372,0.007225177
24.000000000,0.007445185,0.007225177
26.000000000,0.005361199,0.007225177
28.000000000,0.005240919,0.007225177
30.000000000,0.005350458,0.007225177
32.000000000,0.005226242,0.007225177
34.000000000,0.005618387,0.007225177
36.000000000,0.005776314,0.007225177
38.000000000,0.006450872,0.007225177
40.000000000,0.007485516,0.007225177
42.000000000,0.006502389,0.007225177
44.000000000,0.005838959,0.007225177
46.000000000,0.005688645,0.007225177
48.000000000,0.005838465,0.007225177
50.000000000,0.006294166,0.007225177
52.000000000,0.007073999,0.007225177
54.000000000,0.007557759,0.007225177
56.000000000,0.007855294,0.007225177
58.000000000,0.007842347,0.007225177
60.000000000,0.006823874,0.007225177
62.000000000,0.006428778,0.007225177
64.000000000,0.007057930,0.007225177
66.000000000,0.005556359,0.007225177
68.000000000,0.006306464,0.007225177
70.000000000,0.008047600,0.007225177
72.000000000,0.011419726,0.007225177
74.000000000,0.011346738,0.007225177
76.000000000,0.009562345,0.007225177
78.000000000,0.009177038,0.007225177
80.000000000,0.009014685,0.007225177
82.000000000,0.008767983,0.007225177
84.000000000,0.008598978,0.007225177
86.000000000,0.008314548,0.007225177
88.000000000,0.008870352,0.007225177
